Gene	sgRNA	eff
SETD7	SETD7_g59	1
SETD7	SETD7_g60	1
SETD8	SETD8_g61	1
SETD8	SETD8_g62	1
SETD8	SETD8_g63	1
SETD8	SETD8_g64	1
SETD9	SETD9_g65	1
SETD9	SETD9_g66	1
SETD9	SETD9_g67	1
SETD9	SETD9_g68	1
SETD9	SETD9_g69	1
SETD9	SETD9_g70	1
SETDB1	SETDB1_g71	1
SETDB1	SETDB1_g72	1
SETDB1	SETDB1_g73	1
SETDB1	SETDB1_g74	1
SETDB1	SETDB1_g75	1
SETDB1	SETDB1_g76	1
SETDB2	SETDB2_g77	1
SETDB2	SETDB2_g78	1
SETDB2	SETDB2_g79	1
SETDB2	SETDB2_g80	1
SETDB2	SETDB2_g81	1
SETDB2	SETDB2_g82	1
BRD1	BRD1_g1	1
BRD1	BRD1_g2	1
BRD1	BRD1_g3	1
BRD1	BRD1_g4	1
BRD1	BRD1_g5	1
BRD1	BRD1_g6	1
BRD2	BRD2_g7	1
BRD2	BRD2_g8	1
BRD2	BRD2_g9	1
BRD2	BRD2_g10	1
BRD2	BRD2_g11	1
BRD2	BRD2_g12	1
BRD3	BRD3_g13	1
BRD3	BRD3_g14	1
BRD3	BRD3_g15	1
BRD3	BRD3_g16	1
BRD3	BRD3_g17	1
BRD3	BRD3_g18	1
BRD4	BRD4_g19	1
BRD4	BRD4_g20	1
BRD4	BRD4_g21	1
BRD4	BRD4_g22	1
BRD4	BRD4_g23	1
BRD4	BRD4_g24	1
BRD7	BRD7_g25	1
BRD7	BRD7_g26	1
BRD7	BRD7_g27	1
BRD7	BRD7_g28	1
BRD7	BRD7_g29	1
BRD7	BRD7_g30	1
BRD8	BRD8_g31	1
BRD8	BRD8_g32	1
BRD8	BRD8_g33	1
BRD8	BRD8_g34	1
BRD8	BRD8_g35	1
BRD8	BRD8_g36	1
BRD9	BRD9_g37	1
BRD9	BRD9_g38	1
BRD9	BRD9_g39	1
BRD9	BRD9_g40	1
BRD9	BRD9_g41	1
BRD9	BRD9_g42	1
DNMT1	DNMT1_g43	1
DNMT1	DNMT1_g44	1
DNMT1	DNMT1_g45	1
DNMT1	DNMT1_g46	1
DNMT1	DNMT1_g47	1
DNMT1	DNMT1_g48	1
DNMT3A	DNMT3A_g49	1
DNMT3A	DNMT3A_g50	1
DNMT3A	DNMT3A_g51	1
DNMT3A	DNMT3A_g52	1
DNMT3A	DNMT3A_g53	1
DNMT3A	DNMT3A_g54	1
DNMT3B	DNMT3B_g55	1
DNMT3B	DNMT3B_g56	1
DNMT3B	DNMT3B_g57	1
DNMT3B	DNMT3B_g58	1
DNMT3B	DNMT3B_g59	1
DNMT3B	DNMT3B_g60	1
DNMT3L	DNMT3L_g61	1
DNMT3L	DNMT3L_g62	1
DNMT3L	DNMT3L_g63	1
