sgRNA	Gene	L6_F1	L6_F2	L6_F3	L6_F4
HDAC7_g53	HDAC7	0.9227842177403252	1.2672032834894855	1.0972911070648617	2.1698193508203127
HDAC7_g54	HDAC7	0.6440705212002936	0.7035456908947331	0.820214034370016	1.0078662396144786
HDAC8_g55	HDAC8	0.8379447009149841	0.9034376804314391	0.7949603884968428	1.3638400476775798
HDAC8_g56	HDAC8	0.9380612265062122	1.1036570100119016	1.7393163788556945	1.7791119671484743
HDAC8_g57	HDAC8	0.8217457275231124	1.149715349310618	1.164824722919577	1.092460931532031
HDAC8_g58	HDAC8	1.3427997363154394	1.2079606196431247	1.567945422390564	1.9688871019281966
HDAC8_g59	HDAC8	0.536994848698524	0.5253974677703158	0.670732971573215	0.7136327410410696
HDAC8_g60	HDAC8	1.1545718099344013	1.0775576336432153	1.2468429726538126	1.6013686512549041
HDAC9_g61	HDAC9	0.5978234216011098	0.6779998893231313	0.6964013842686034	0.8150038970009511
HDAC9_g62	HDAC9	1.151373228775358	1.2074369772877358	1.3710861451643974	1.5684684550242207
HDAC9_g63	HDAC9	0.6918886354052324	0.548435663980864	0.6501044614501478	1.019751536164877
HDAC9_g64	HDAC9	1.058745002329753	1.222904950816292	1.4606595750989737	1.9270044851092858
HDAC9_g65	HDAC9	1.4209979266246577	0.9892582490854128	1.2963816145221045	1.8331660418603113
HDAC9_g66	HDAC9	1.048628050311259	1.2521496575592483	1.3585923239140743	2.0570811857477476
SIRT1_g67	SIRT1	1.0776385563454591	0.9709698546083505	1.2776246785027745	1.3259933666420929
SIRT1_g68	SIRT1	1.1835225391392545	1.231978482451708	1.2394106169270112	1.087152411685276
SIRT1_g69	SIRT1	1.3291789504223288	1.4217360018106384	1.454556166061037	1.6841026715118048
SIRT1_g70	SIRT1	1.0954967699022609	0.9496334631558176	1.0770471104092718	1.4291069954962916
SIRT1_g71	SIRT1	1.2556159504503472	1.209133143363988	1.5332716636783408	1.5130742579784175
SIRT1_g72	SIRT1	1.0875216902266016	1.29641262468637	1.2323220769657952	1.6194150069346116
SIRT2_g73	SIRT2	1.0204480578127408	1.041307904003645	1.3519018553445326	1.2976588721901683
SIRT2_g74	SIRT2	0.9110611038332596	1.0359636364513214	1.1360290811037415	1.5548431609365718
SIRT2_g75	SIRT2	1.2073887798251501	1.1474169829432697	2.6891206938883085	2.3377567752558432
SIRT2_g76	SIRT2	0.5617449686000798	0.8246240648378919	0.8063922203422847	1.0789606282965027
SIRT2_g77	SIRT2	0.5194212468083024	0.5148584443127118	0.4121333341302964	0.9349575992757314
SIRT2_g78	SIRT2	1.2205926586869498	1.0994514423532	1.3225274463712102	1.4386408491721139
SIRT3_g79	SIRT3	0.9574993155944969	1.397947217295389	1.3709326040009715	1.715776584487468
SIRT3_g80	SIRT3	0.8190954372995896	1.2585220146027947	1.4574617894462527	0.7504750473195919
SIRT3_g81	SIRT3	0.6398270402106131	0.8035909022615478	1.0382403073660986	1.589088500501628
SIRT3_g82	SIRT3	0.6320376308112227	0.7164910483428232	0.6655911292219272	0.7721175486861307
SIRT3_g83	SIRT3	0.8706849301007844	0.8004976119868881	1.090803979351211	1.2741721894542413
SIRT3_g84	SIRT3	0.7221972292110379	1.1334728846138848	0.7562314383898423	1.0978862572534696
SIRT4_g85	SIRT4	0.9236297934654722	0.7824925321228233	1.2725176289425442	1.4833518907951249
SIRT4_g86	SIRT4	0.6731533566780561	1.2076438800855775	1.1244455712095591	1.4157974615229365
SIRT4_g87	SIRT4	0.5885000499086805	0.8056225911985837	1.0408652516512118	0.8510870029906389
SIRT4_g88	SIRT4	1.159645955683211	1.367003866434982	1.4243310170914538	1.4135359028490324
SIRT4_g89	SIRT4	1.183105553186276	1.293228612212361	1.4013603740146292	1.917101866555394
SIRT4_g90	SIRT4	1.0353975837626388	1.1320725194136954	1.3452007483668569	1.5488863738794973
SIRT5_g91	SIRT5	1.159880787398235	1.0389372975345454	1.5575839301517256	1.7439802390888672
SIRT5_g92	SIRT5	0.8077372988718725	1.1218931252613404	1.0100149618193726	1.102349571330108
SIRT5_g93	SIRT5	1.0723835180372268	1.2808377355369582	1.3626870386455097	1.5469214989468763
SIRT5_g94	SIRT5	1.0378671691871937	1.3281905120580075	1.7932225693203059	2.0034629281229095
SIRT5_g95	SIRT5	1.2170017709470362	1.3166939903033346	1.4545003904303302	1.8152551906675622
SIRT5_g96	SIRT5	0.43105240789103433	0.5007652946468116	0.5217655626011495	0.8063371399528109
SIRT6_g97	SIRT6	1.108384206600129	1.2440725868172344	1.5634566146512572	1.9031754711128521
